pmid,cluster
11800503,0
16553529,0
35927580,4
18247193,2
18154491,1
20854930,4
25802980,4
38776887,4
9136253,2
23300127,1
17466494,4
30221776,4
19552867,0
26800392,2
23881909,2
20420766,4
29880069,4
16499971,4
15272100,0
10868320,3
18363420,0
9348549,4
31799993,1
26462806,4
19943833,1
16061764,1
26345179,1
10380180,1
2258378,2
21895859,0
17414238,4
11202131,2
16137698,3
29731182,2
17477888,2
15349006,1
20732374,4
11425414,1
8328559,2
15149296,1
12716243,0
15866359,4
31332902,4
26364276,4
24901538,4
8428872,1
24090228,1
35939083,1
7868849,2
24060107,4
11354236,2
23274503,4
9879783,2
25690005,2
17112401,1
17194262,4
17618721,4
11392345,1
26423182,0
38824877,4
9172968,2
10885162,1
19574030,4
32592861,4
22391106,4
8005898,1
12213688,0
21367355,0
17928105,4
23291399,4
16259543,2
34404290,2
29738425,0
36377523,0
18337052,1
7530963,4
16937393,0
32565594,0
21308467,4
21206285,3
16893526,4
27763941,1
28832750,1
26384013,1
32861217,0
25891220,4
8778905,4
12207107,1
18004129,2
9864079,2
21704134,4
23142150,4
9778204,1
30590286,4
16491133,2
37149052,4
27630014,1
32438932,4
12399946,1
8803651,0
15842026,1
21919060,2
9491067,2
29398354,2
26580307,2
22006095,1
9864074,2
29748628,4
37470840,4
8071258,2
28555075,4
22381949,2
39631702,4
37859623,1
8626359,2
38408937,2
37315590,0
27780334,0
24045606,0
15469668,1
15206659,4
11235924,2
7636000,2
7624468,4
7828515,4
15286543,1
12242578,3
29894705,4
25082715,4
21382280,2
16553532,2
25373117,4
8263317,0
24345483,0
10622338,4
31481683,4
12941675,0
7836333,2
25898343,1
21925682,0
20187947,1
34108247,0
38880208,0
8923574,2
26180227,1
9832348,2
30153360,4
24663122,1
21736514,4
37318808,4
17854250,0
9476744,0
26022410,0
23219937,1
22449253,4
24807320,1
20938351,3
24268719,0
19006260,0
29673132,0
18272232,1
9892859,2
8106653,0
2065693,2
8803650,2
37301235,2
22198441,2
32242480,2
8071282,2
39706483,1
17135989,1
26709542,0
20090398,4
36223114,0
17295567,2
20826553,4
11691690,4
19282423,0
24950747,4
32315537,4
33316457,1
21694621,1
11331141,4
24486425,4
15377738,1
39722333,1
21226937,1
15323591,0
9054788,2
18067659,1
36579902,4
24679400,1
37294568,2
16934840,0
32573396,1
9730077,1
36153330,4
16946177,0
26602230,2
21751125,2
21208591,1
35072758,2
11448368,4
9165379,2
20691481,0
11069268,4
10964871,4
8880076,4
37244205,0
30902738,2
15245784,4
17321595,1
21869688,0
25873303,2
18373383,0
24725805,4
16946178,2
32823218,1
28388454,1
18055956,1
16582045,0
19678773,2
20024753,1
16487941,4
11007727,2
15272091,1
15323594,4
2201514,2
30317101,1
31843628,4
22235252,4
35649167,0
25261629,4
31221693,1
20888580,4
12893503,1
16633139,2
11772847,4
36724796,1
38425284,0
37568081,0
17664517,1
12716275,0
22971472,1
16601642,1
16796730,0
38445382,1
23334675,0
8848950,2
30205379,2
9659856,4
10812530,2
26590556,4
8854304,1
1829098,2
12943949,2
23666582,4
15084901,2
35819423,1
11979058,4
1299597,2
26035186,0
35549538,4
8057000,2
26714202,4
10964861,2
25030264,4
25744325,2
11927189,1
11110989,4
23559064,4
20728093,3
25272149,0
18533184,4
23562618,4
16675759,1
15520364,0
9373420,1
30234665,1
28657871,4
18006073,1
24438321,4
16160710,2
32620104,2
24229738,1
16319917,4
26609167,4
32081599,3
11814529,1
11602029,2
15677414,4
32785636,4
26013203,0
28926793,0
31609787,0
18547727,0
9503257,4
12888182,4
14996144,2
10201422,2
34324636,0
16607468,2
22925832,1
34418086,2
26984349,2
19284933,0
16883145,1
12411221,2
15110741,4
22840761,4
1891486,4
15784158,4
17272735,2
8115668,2
22919308,0
35088753,2
30153497,1
11822991,1
15702138,4
28299626,0
24108149,0
28272497,4
36163686,1
18276017,1
21535999,4
26996196,4
7836337,2
15723023,1
27035404,0
16272188,4
12001178,0
8588384,4
12415553,4
12502032,1
9819068,4
8824057,0
36945926,4
27681442,0
37069490,1
23517885,0
22048884,0
39999772,0
15589565,4
9133750,2
10396008,1
25259674,0
35582785,0
14624185,2
18802161,1
24994476,1
2407208,2
21767441,0
8173018,3
38632313,1
9133767,0
11136647,2
21738622,4
10671391,1
21208597,0
9632030,2
8993088,2
26109265,4
23939510,1
28648567,4
12452539,4
9585653,1
15050085,1
20584525,0
23171911,4
12000204,0
10701472,4
16894061,4
33832092,4
35809678,1
26598474,1
25457687,1
24562062,2
23216998,0
16388069,2
17574796,1
7831450,2
1807971,4
25188436,1
8659620,1
39733498,4
18052563,3
16690006,4
28045352,1
24002086,4
22042636,4
26674707,4
30063303,2
27423168,1
25012419,4
20409444,1
30107350,4
25945337,3
8543545,3
11387731,2
32167792,0
23881185,0
19264363,2
15877935,2
20602727,1
14744472,2
8373935,1
15252704,2
38844163,4
12866252,1
12551734,2
18480694,2
27057997,1
16086620,0
23327503,1
16848655,4
8067495,2
7675961,0
1960382,2
30170329,0
11829206,4
16012274,4
31711880,4
15138896,4
37992767,2
34747448,0
32066504,2
11270916,2
21358389,1
8106650,0
8468314,1
22301195,2
23532747,2
19407731,0
24574930,1
18533273,2
9245193,2
25175478,1
26279130,1
25586212,1
21093060,4
15042278,2
11926722,0
2274633,2
10386185,1
11182530,2
20451668,1
1888684,4
2071561,2
2050651,2
12462513,4
17541206,4
25719444,4
23216401,2
18332158,1
8955546,4
12390549,1
24313244,0
20957515,1
15352140,4
12505806,4
11999913,1
11593077,2
10836283,0
10066988,1
16398952,0
25885818,1
18755514,2
19779146,4
20919541,4
34010748,4
35805620,2
22298121,4
21595526,1
17062659,2
11712623,2
15156426,1
19321268,2
19755362,1
1775523,2
39316999,2
19680706,4
35728680,4
10967371,2
10197835,2
9817625,1
7963068,1
2184790,1
18158074,0
21121774,0
31631058,4
9381956,2
28421334,1
21206443,2
22480177,4
16501401,1
37392016,4
23896317,4
19769599,1
25518754,0
9831997,2
26560512,1
16340396,4
10947339,1
7593726,2
8784652,0
36239033,0
39019235,0
19077131,4
32252062,4
29453441,4
25782717,4
10200750,1
17515172,4
25677354,2
31371212,1
24724887,4
21926484,2
17146416,0
20074703,2
10817533,4
22706518,4
8573661,2
8453432,2
15353387,2
18498013,1
37819741,1
14980069,2
12142643,4
12197452,1
23979360,4
34699857,1
8897116,2
9247406,3
20097780,1
25659187,2
9241570,2
15364040,4
10234561,1
12404675,2
25122038,4
19694628,0
18715415,1
19710622,3
15842028,1
20688800,1
9733503,4
30718459,4
18775652,4
18037817,0
24894416,4
2126144,2
16096516,2
21309619,1
11850046,2
9549959,2
15855433,1
31141465,1
15377746,2
34752681,1
15706460,2
12755659,1
37580739,1
8856421,2
15229064,2
12490769,0
11448087,2
1845438,1
24351885,1
15488964,0
11886025,1
30106880,2
23570952,1
29489494,4
17050507,2
11983189,2
9084896,4
10760553,1
30340143,1
32521250,0
16055263,4
37635396,4
12823089,0
10817105,0
10831476,1
17451562,0
18930473,4
16086621,3
23929355,1
9821561,4
16579401,2
38740439,1
15237079,1
18539339,2
12943952,2
24528284,4
29795403,4
17124643,0
19759043,2
17244833,2
12204314,2
27038550,4
24638046,1
26402009,1
10917402,2
16845641,0
38019355,4
31900198,4
35233974,4
24311553,1
22883315,0
27723543,2
31846575,1
21733727,0
29069615,1
26773906,0
9836013,4
35578182,1
19465880,1
26426831,3
32552472,2
29202655,4
23639212,0
7884018,2
8217066,2
14658974,0
16808740,1
11838624,2
32053828,4
30925498,2
19105212,4
23117749,2
38627683,4
34526482,4
17431740,1
16889798,4
17621383,2
8195464,0
18165459,0
22124225,3
25043321,1
35354325,1
36938869,3
10837880,2
21641047,4
11981594,2
9090337,1
14603988,2
10569127,1
35535436,1
24119858,2
28857042,1
10207659,2
9672056,1
26655583,4
23873293,0
25135191,1
25480462,2
28898872,4
27109856,1
34953926,4
25055809,4
20952454,4
17406651,1
9408809,4
9919322,1
24096053,0
11082469,4
18490576,2
17846259,2
39433921,4
24525660,4
21320338,2
19358790,0
17324686,1
9861574,1
9094147,4
8442962,3
20545502,1
28318471,4
34131267,4
28285771,1
24462230,1
35089358,4
20065276,1
23994192,4
19349312,4
9097068,1
16330719,1
7842147,1
20684786,1
15992393,2
29501990,4
25759400,4
19284932,2
32001003,1
22147842,2
11838625,2
8831437,1
12737641,1
21188787,4
2071558,2
7871094,2
33601706,1
37328465,1
12133139,1
17729016,2
26025562,1
25642918,4
18615497,1
16871270,2
11419053,2
31556975,0
26867076,1
17767673,1
25689725,1
29608461,0
17328957,3
16420086,2
7675971,2
1511080,4
36336757,4
32871535,0
39262174,1
8911559,2
21868736,0
1900443,4
28295915,1
30714749,1
16953000,4
30086213,0
23419226,1
32056873,0
27280965,4
12727707,2
29856741,4
18052566,0
29228516,1
22053897,0
33878621,4
10453796,1
15201565,0
24766999,0
9169311,2
10757255,0
29660637,4
26025780,4
10401920,2
30840787,0
14658950,0
23664712,4
8424470,2
18536065,2
25527253,0
34758065,1
15748090,0
16628130,4
15341662,2
36997260,1
19560507,4
24726639,4
21696635,1
9464195,2
21889560,2
20462569,1
19641981,4
21191380,4
30235716,4
26708778,4
23021320,4
30986737,1
10200751,2
34358723,4
32388446,2
37084960,2
15555723,4
15960574,2
9395150,3
10937611,2
9766765,2
9476757,2
23602542,0
7481419,4
35579484,0
26343603,4
31618446,1
19015627,1
9489577,3
14702268,4
1774431,4
15107657,0
12642173,4
10360137,1
9167521,4
10363738,2
38153320,0
7491382,2
10074873,0
11890185,2
7888419,2
31695168,4
18485485,2
11106136,2
35069013,2
7491375,2
10170453,0
9545158,2
7954482,2
9245192,4
32947455,1
11020092,1
34670132,1
16259546,0
7963448,1
15488253,4
17135987,2
29460712,4
