pmid,cluster
8440808,2
34090255,2
28939189,2
10867111,0
9632032,3
29501990,2
12727707,4
12153829,4
22746337,0
10432474,0
7592505,4
10710164,2
8296578,3
1603901,0
10197835,3
1930617,0
40025010,2
18703933,4
12415537,4
37263492,2
30063303,3
9339881,4
7649971,3
1806627,3
15084901,2
34108247,4
37482560,2
26348032,2
16848655,0
28456685,2
16582045,4
31634515,1
26872112,3
23644816,3
12880942,2
30590286,2
26553313,2
9736008,3
9707377,2
9172968,3
21601287,2
18832427,4
23216998,2
18635695,4
16189745,2
16420086,2
28013123,2
15935231,0
10614031,1
8857868,3
7672750,0
9172969,3
12946882,2
28697253,3
18507895,4
14573318,2
22032742,2
21553144,3
18579238,0
20190601,1
7991725,3
24679400,2
16505129,3
32171290,0
29331696,2
30642308,2
18498013,3
9378690,4
24912106,2
15569397,1
15583115,3
2274633,3
19295509,2
19067437,2
24628498,4
8591972,2
8227488,3
35970327,4
18191817,0
37315590,4
7559370,4
1621138,3
36336757,1
27244782,3
28086851,1
21646579,3
12404675,3
9427167,3
15809409,3
10066988,2
11800503,4
17431740,3
28857042,3
30430961,2
10347338,3
9572104,2
38367846,2
14735169,3
8277301,2
29189044,4
29053977,2
36740140,2
36151855,2
22858211,4
21135325,3
20175941,4
28832750,2
34995992,0
29656663,4
23117749,3
7675939,0
15953490,3
26384013,2
8866698,0
35020871,1
28357969,4
29101095,3
28663124,4
17574796,2
23581532,4
1531820,3
15997604,3
14624186,2
19728035,0
23088620,3
25815754,4
26478208,4
19687181,4
23768683,2
17402267,2
19458612,0
29748055,2
20196183,3
10671391,2
16809253,4
30249416,1
19593177,0
31199210,4
34971723,2
23510529,3
15450785,2
9619686,0
16188715,3
17328957,1
9864074,3
32438932,2
27137427,2
11599643,2
24612825,2
2146304,0
16520686,4
24313244,3
21658349,2
25257148,4
12393307,4
14696018,3
10665628,4
17586783,4
12905099,0
26799942,3
12466028,4
12377400,1
8408980,0
28301561,3
15156933,2
38453677,2
34747448,4
30852363,2
31883526,2
32380445,1
32008286,4
26275653,2
11138997,3
23340506,0
38232776,1
33065813,2
9241570,3
15766292,2
15992554,2
16594290,3
11119182,3
15169696,4
30741785,2
20938351,1
19439363,2
15766293,3
28189575,2
35288545,2
19674382,2
25679122,2
12860778,3
16444795,3
15470801,0
12804681,1
27681442,4
25375652,4
23611569,2
23602205,0
22238631,4
20385376,1
9633672,0
1775604,2
16259998,1
16086621,1
10701482,3
7870927,4
23549225,4
25234606,1
25012429,2
17487933,4
16356697,1
25638793,2
15708844,3
24462230,2
24815533,4
8856421,3
18536065,2
23810357,4
30153360,1
16581036,0
22919308,4
26364276,0
12716247,2
18468810,1
12242054,3
34689056,2
8468314,2
15242467,2
16540613,3
31472393,0
12390549,3
10965637,3
9746444,3
8792753,3
10360414,3
25457687,2
8626358,3
27324805,2
27046309,4
29137560,2
20141705,3
12415551,3
19769599,2
1891486,0
35805620,3
20581790,4
10802126,2
29738425,4
28958125,3
9169310,3
15879583,3
8126311,2
1531823,3
27455513,4
18006073,2
25430687,1
30317101,2
33441069,4
39262174,2
24096053,4
7983293,3
21508853,0
28815419,3
36173064,0
20673547,2
7938560,3
11401657,3
15960563,3
17166775,2
30826253,2
27054610,4
14716707,3
38627683,0
9169309,3
11519769,3
18850765,4
7572251,3
10837880,3
38513424,2
36799961,2
22008447,2
10321415,4
10201422,3
29856741,0
37934573,2
17984932,1
11082469,1
1289921,0
17559710,1
9167521,0
19752838,3
16889757,3
2258448,0
29620692,4
19225403,1
30106880,3
22429479,0
15241662,2
11822991,2
2184790,3
12197452,2
16553541,3
8263316,4
36811520,4
11356239,3
21641047,1
19700204,0
27716660,3
23232755,2
30238915,2
17976882,0
38408937,3
21889560,2
15238992,2
16824617,2
15149296,2
12551734,3
10993128,3
10831476,2
2189874,3
19452375,3
20919541,2
18681820,3
39119911,2
32823218,2
30153634,0
28892734,2
23881909,3
20223599,0
12798983,2
19703381,1
10818263,0
15913872,2
28246891,1
14550680,3
12399946,2
1429474,3
31760780,0
38422450,3
23567397,4
11682257,0
8831436,3
25470094,4
32081599,1
18052559,4
11457420,1
30045066,4
8614706,0
31795035,2
17112401,2
16259543,3
12393314,3
7873952,3
24393367,0
15283740,2
26782861,3
26149441,3
12923794,3
12185396,3
11305700,3
16808740,3
9495605,0
26514447,0
27809351,4
17196057,0
19910882,3
15579788,3
38482853,2
28039689,2
26643541,4
11223108,3
8731070,2
7899535,0
9571653,3
10189602,3
25854875,2
10708818,3
24970773,2
15323594,0
2071558,3
26580307,4
37533019,4
8588061,2
24309905,4
31711880,1
12573303,1
30725226,3
16690006,0
11829206,0
10760553,2
9018388,0
30709746,2
23300127,3
21191380,2
9121622,1
1531826,3
30176835,2
22905811,4
8428872,2
17920692,2
32663980,1
19349077,2
36484844,1
40226647,3
22921481,4
17110825,4
11927189,3
16754413,4
2236452,3
18457589,3
10936631,2
26896810,3
21291943,4
22124225,1
25544195,3
26319158,2
23619509,0
19539524,2
10396008,3
16390905,4
35324094,4
16716479,0
10074878,2
22250853,2
23664268,0
15107719,4
8854304,2
15337331,2
33310500,1
30858518,2
30718459,2
25157724,3
12128243,3
15520364,3
11182530,2
9493483,3
18716414,0
10534584,3
23705849,3
9730077,3
8468436,2
16741212,3
8690826,3
21694614,0
15927091,0
9084896,0
12661474,0
2405329,2
36094967,2
35089613,2
29507282,2
39715042,4
19185467,4
18354392,0
7857501,3
18413705,4
24583567,4
22998742,2
10917411,3
18052566,0
11772700,2
11926717,3
33386430,2
27977469,2
10386185,2
11354236,3
27125818,2
24500245,4
11247106,3
18755514,2
24656524,2
26451508,2
28935838,2
22901348,4
12765849,1
12359681,3
38594753,2
30343455,3
36997260,2
34608842,2
21926484,2
21102344,4
17627739,4
24446548,2
12628619,2
1829739,2
26745768,2
15272100,4
25467848,4
19177168,0
11850046,2
25196314,4
22301195,3
32565594,4
9160649,0
8270588,3
12172339,4
8083675,2
27259062,2
24021959,2
15156426,2
10518178,3
29952863,1
18302208,2
12082591,0
8626359,3
19909979,0
15323595,0
9107153,2
17453654,1
16398952,4
40215375,2
2123039,3
27138798,2
28441583,1
17474807,2
11772847,0
7491398,2
2115680,3
24667487,2
10659981,0
21851460,3
28499900,4
19843899,3
16934840,4
38685594,4
9874906,3
15237079,2
25719444,3
28072660,1
8880076,2
31242892,3
9543205,3
20099269,2
25050453,2
23738992,3
14514498,2
32186013,3
27770740,2
20097780,3
8296581,3
2198303,3
24268719,4
36163686,2
16335904,0
27630014,3
22794787,3
26331383,4
12376586,4
29609146,3
25744500,1
21329753,2
25523883,2
23209576,0
1417632,3
21410960,4
30480860,2
32838817,2
37470840,2
35582785,4
24229754,4
22676966,0
20973713,2
9342767,3
31483961,4
37578792,4
9491067,2
16845662,2
34418086,3
22152401,3
15320956,2
29943445,4
23171911,0
18781665,2
9718247,3
32871704,3
21669372,2
20196181,2
8741025,3
1995088,2
10830150,3
1620773,2
10192591,3
2248063,3
23370288,1
16963587,2
15661116,1
11740974,0
19424085,2
29206826,3
24351885,2
33743385,3
17288688,3
15353387,2
12063152,0
16703602,2
9885798,0
31537090,2
28787372,2
1973942,3
21784533,2
7481419,0
23873293,4
24726639,2
22495941,2
18090696,1
8364348,3
9862605,3
25500685,4
25282363,2
38286128,3
23131884,4
16670251,2
18195470,3
16871270,4
15877712,3
12422062,3
27804203,3
18533184,0
11105734,3
10665634,3
30207254,2
34023797,4
21034680,4
12236630,0
16428253,3
9194044,0
7884018,3
21235759,4
19171315,2
16161727,3
1978370,2
33128939,2
19090505,2
38537756,2
28064281,2
15383130,2
10547175,2
16553532,3
15050085,3
16855452,2
15349006,2
30191781,0
24108148,4
11702016,2
8834416,0
25467077,3
19210951,4
19521922,2
39233242,2
24330903,1
11602029,3
12112202,1
9721829,2
16184071,4
33691647,2
21093060,1
17685736,3
36732585,2
16677714,3
28272497,2
23945458,4
30245249,2
25130678,2
11822997,3
10964861,3
17803844,3
34979178,2
25046624,4
36442318,3
23914988,3
9326748,0
9693355,2
22516310,0
10711915,2
26704739,0
31060604,2
31725942,4
11270909,0
12364842,3
8810860,2
9513749,0
12242058,3
18076538,0
12513950,2
28898872,0
17487934,4
16728541,0
38834540,0
11979058,0
21535999,0
11331141,2
9004051,0
1960382,0
23895940,2
26859610,3
7714228,2
30311742,2
16594814,2
20122366,4
12975715,3
34011310,4
9696518,3
15723023,2
16344854,0
12893503,3
8598592,3
24813026,4
28335624,4
22050051,0
14702268,2
10386195,0
18515694,1
19709754,2
12689612,0
39836656,2
16946178,3
11476126,3
39722333,2
30531397,1
18647982,4
8071277,3
31812110,4
9133753,2
28627912,3
26025780,1
14723479,4
24108149,2
33349674,1
27396868,2
24144196,4
12832253,0
18854724,3
11082473,0
10378176,2
12523867,3
31513968,2
19077131,2
19968383,2
26343603,2
27894822,3
7884019,3
29334322,0
15527426,3
8022529,0
19222404,0
30867553,1
1870418,3
30549486,2
15272091,2
20827794,4
12142643,0
12242578,1
16919758,0
32713367,1
20692042,2
11437014,3
1821699,0
27591917,2
24486425,1
15944745,3
15458612,3
12197455,3
25142196,2
35102782,2
15316717,0
22545088,4
21438794,4
22391106,2
30035325,2
8868208,0
23507186,0
15967511,0
32660299,4
27253216,1
15364040,0
19470987,3
23142150,2
36153330,2
8215814,3
32552472,3
11426506,3
16566626,4
12716275,3
19759043,3
17556431,3
9089057,3
21226937,3
19330495,3
9413414,3
16199008,2
22971472,2
19880459,2
18399039,3
8120157,3
15643103,4
8988956,3
8277144,3
15531007,4
9283504,3
22286203,4
10917402,3
16202184,3
1511080,0
29608461,4
19284933,4
25554994,2
12422059,3
18801582,2
9213083,0
34555691,2
24842649,4
11411813,3
25097285,4
15876903,0
21838410,4
17068318,3
15589565,0
12606843,0
10836286,3
35809362,2
11468498,3
8993085,0
35549538,2
9405961,3
8373935,2
31931894,3
27521651,2
21885210,2
19236730,0
29140227,4
24668760,2
38244783,2
11068197,1
23832433,4
21738622,0
12462513,2
30388595,0
17659823,3
19712127,3
15006431,3
38767937,4
36821775,4
39242786,4
35649167,4
24611442,4
33086145,1
23049758,2
21208591,2
16716529,0
15820716,2
38758363,2
26655583,2
12884889,3
27109856,2
11886025,3
34333176,2
8263317,3
17475735,3
25122038,2
35809678,2
25085036,1
16566612,2
19336785,2
20797382,4
24388729,1
35368605,2
28555075,0
17176505,1
21929846,2
17606812,2
31838256,2
23764521,4
17466494,1
29873953,4
21176719,2
11202131,3
39433921,1
37827257,4
28241025,3
7961520,3
18562104,2
19890631,0
39428497,0
12888182,0
19318138,0
21751128,2
30419989,4
14607390,2
37385001,4
29995359,4
26311446,2
11419053,3
11352337,3
22221724,4
38632313,2
14687858,3
15373278,2
7850395,1
34099307,2
9663362,3
17963300,2
2071561,3
19732481,4
17146008,3
23809145,2
21869688,3
10836283,3
37344986,2
39259548,2
12544371,3
23866851,2
28853392,3
12943952,3
33832092,1
8471126,0
22001552,2
2195013,0
8173018,1
29689693,4
29489494,2
24677141,0
17984403,3
26551403,2
33074143,2
19909980,4
21456039,3
20973714,2
8856002,3
39551007,4
32036277,2
10628577,3
11879161,3
12393109,3
37635396,2
32787676,0
29730251,1
25258429,2
8588060,2
12502032,3
19095219,4
21751125,3
23587982,4
11986508,3
19730274,2
28858443,2
30368163,4
18242724,2
16432682,0
16319917,0
23939510,3
36651624,2
8442962,1
27178002,1
12025827,2
20703198,2
32858844,0
17244833,3
7806687,3
2407208,3
27280965,2
31721487,2
31928949,2
18276017,2
15201565,4
37252829,4
16883145,2
24655622,4
7579025,3
22209361,4
20420766,2
23095489,1
8302193,0
36175271,2
37656180,2
38425284,4
16835012,2
19729204,0
20609482,2
23915015,3
22578037,2
15669893,4
11376459,3
10071180,3
24702987,0
26752119,0
9099409,2
37016788,2
10363731,3
14699431,2
38636352,0
23673085,1
38844163,0
